"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","WDF2","WDF5","WSF2","WSF5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-25","10.74"," 1038"," 0932","0.00","0.0","  230","  250","21.0","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-26","8.28"," 1616"," 2045","0.03","0.0","  110","  160","13.0","15.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-27","10.07"," 1808"," 1806","0.06","0.0","  330","  330","23.0","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-28","16.11"," 1836"," 1836","0.03","0.0","  320","  320","30.0","38.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-29","17.90"," 1348"," 1308","0.00","0.0","  320","  340","38.9","51.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-30","12.97"," 1357"," 1408","0.00","0.0","  310","  300","25.9","33.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-01","6.93"," 1552"," 1722","0.00","0.0","  100","  210","17.0","25.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-02","7.16"," 1516"," 1756","0.00","0.0","  210","  180","17.0","21.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-03","15.43"," 1513"," 1512","0.02","0.0","  290","  300","36.9","46.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-04","13.42"," 1628"," 1653","0.02","0.0","  230","  280","28.0","42.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-05","12.08"," 2055"," 2114","0.00","0.0","  230","  230","21.9","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-06","16.11"," 1759"," 1840","0.00","0.0","  290","  290","31.1","46.1"
